varia,Estimate.x,se.x,pval.x,aic.x,resq.x,Estimate.y,se.y,pval.y,aic.y,resq.y
(Intercept),-0.0536717857980671,0.439347784810288,0.902787357546153,13156.2570351403,0.654341058938564,0.170554063649619,0.426135766497649,0.689043199717332,13101.6759687663,0.666108586511073
nHerbs,0.000766501780950096,0.0010758413299089,0.476290319027548,13156.2570351403,0.654341058938564,-0.00221171154587026,0.00106342619858326,0.0377198100016242,13101.6759687663,0.666108586511073
nTrees,0.11743068606469,0.0121368629278193,1.68815028517978e-21,13156.2570351403,0.654341058938564,0.0515257322192806,0.0142547729239984,0.000311090851413426,13101.6759687663,0.666108586511073
Light,0.146890664507935,0.0646421397803841,0.0232105352559089,13156.2570351403,0.654341058938564,0.0529122073161346,0.0635411506496686,0.405138165223924,13101.6759687663,0.666108586511073
ellenTemperature,-0.035117878020944,0.0405571171624829,0.386695719507094,13156.2570351403,0.654341058938564,0.0701950244412561,0.040816617391867,0.0856889134049561,13101.6759687663,0.666108586511073
Arableland,-0.353017892259985,0.110762148324146,0.00146742985222079,13156.2570351403,0.654341058938564,-0.0807898494374299,0.112973223008138,0.474647898932725,13101.6759687663,0.666108586511073
Forest,-0.149328827335299,0.113851671223788,0.189860321612496,13156.2570351403,0.654341058938564,0.0629784682294037,0.113883394174534,0.580343139265762,13101.6759687663,0.666108586511073
Grassland,0.348430925899174,0.116112536678387,0.00273875843982635,13156.2570351403,0.654341058938564,0.248744757062109,0.112904789143138,0.0277422355314293,13101.6759687663,0.666108586511073
Water,0.281558705018648,0.147866783824984,0.0570904572781086,13156.2570351403,0.654341058938564,0.0363858605182917,0.144784936967218,0.801610362975573,13101.6759687663,0.666108586511073
Tmean_c,0.0814399527766016,0.00616604932494114,1.09143357352313e-37,13156.2570351403,0.654341058938564,0.0844410826373556,0.00599492024114671,2.54835579130883e-42,13101.6759687663,0.666108586511073
Psum_c,-0.00328844127325536,0.000760767620603641,1.64790314229076e-05,13156.2570351403,0.654341058938564,-0.0025412362111548,0.00074708556468016,0.000688359056455358,13101.6759687663,0.666108586511073
Tmean_c:Psum_c,-6.50313667589023e-05,0.00020253284676321,0.748188205485277,13156.2570351403,0.654341058938564,-3.57388605141149e-05,0.000196861562590283,0.855966731600601,13101.6759687663,0.666108586511073
Tmean_anomaly_winter,-0.294269118883139,0.0267760329503577,4.84097798977745e-27,13156.2570351403,0.654341058938564,-0.123234239225922,0.032138988630167,0.000131269177703513,13101.6759687663,0.666108586511073
Psum_anomaly_winter,0.0339056584193048,0.00261037507025716,1.4391071547292e-36,13156.2570351403,0.654341058938564,0.0197442974097069,0.0029824734137282,5.04370251295427e-11,13101.6759687663,0.666108586511073
Tmean_anomaly_winter:Psum_anomaly_winter,-0.0114081244517265,0.00253288682811858,7.20442245451993e-06,13156.2570351403,0.654341058938564,-0.00209155451469021,0.00258561849189142,0.418695075667721,13101.6759687663,0.666108586511073
Tmean_anomaly_april_current,0.0820268708839071,0.0261315132705999,0.0017294913354007,13156.2570351403,0.654341058938564,0.0809671739377349,0.0237235446763038,0.000660389389743127,13101.6759687663,0.666108586511073
Psum_anomaly_april_current,0.0148416199999814,0.00155365425175765,5.18251651590091e-21,13156.2570351403,0.654341058938564,0.00681924417279451,0.00166905015652349,4.63544063420357e-05,13101.6759687663,0.666108586511073
Tmean_anomaly_april_current:Psum_anomaly_april_current,-0.00276550369853255,0.000949023296582712,0.00362253082307957,13156.2570351403,0.654341058938564,-0.000258792924224089,0.000909640800844415,0.776067856761961,13101.6759687663,0.666108586511073
Tmean_anomaly_april_prev,-0.108223005844517,0.0302561216779697,0.000359153675483491,13156.2570351403,0.654341058938564,0.0154897196110415,0.0301334249473709,0.607304073395849,13101.6759687663,0.666108586511073
Psum_anomaly_april_prev,0.00212040371122868,0.00146374670193389,0.147662129958893,13156.2570351403,0.654341058938564,0.00284309402833352,0.0013865110178091,0.0404917915115476,13101.6759687663,0.666108586511073
Tmean_anomaly_april_prev:Psum_anomaly_april_prev,-0.00436861125844221,0.000838227276977456,2.14148062297224e-07,13156.2570351403,0.654341058938564,-0.00136145464663426,0.00081044698312887,0.0931963614632689,13101.6759687663,0.666108586511073
Tmean_anomaly_meandaynr_prev,-0.00780511393546816,0.0119435116297521,0.513536256264159,13156.2570351403,0.654341058938564,-0.00591880065527226,0.011713821167739,0.613436698870397,13101.6759687663,0.666108586511073
Psum_anomaly_meandaynr_prev,-0.000935723289932963,0.000447890589171264,0.0368660206479072,13156.2570351403,0.654341058938564,-0.000141903354094866,0.000444820294682919,0.749762887898877,13101.6759687663,0.666108586511073
Tmean_anomaly_meandaynr_prev:Psum_anomaly_meandaynr_prev,-0.000612173209951987,0.000300625176382293,0.0418986317558429,13156.2570351403,0.654341058938564,-0.000107090042970167,0.000298303710676383,0.719649961076682,13101.6759687663,0.666108586511073
,,,,,,-0.0411156695515398,0.00482185460958307,3.72759815568433e-17,13101.6759687663,0.666108586511073
